participant,infrequent_count,total_count,infrequent_ratio
00b10,120,1422,0.08438818565400844
025ce,120,1428,0.08403361344537816
055e7,120,1425,0.08421052631578947
05bfb,120,1395,0.08602150537634409
0a34c,120,1521,0.07889546351084813
0ad6c,120,1458,0.0823045267489712
0c402,120,1485,0.08080808080808081
0dd8c,120,1461,0.08213552361396304
10bb2,120,1437,0.08350730688935282
11341,120,1503,0.07984031936127745
116f9,120,1494,0.08032128514056225
12cc6,120,1446,0.08298755186721991
1360c,120,1401,0.08565310492505353
15ff7,120,1413,0.08492569002123142
19bb3,120,1533,0.07827788649706457
1a1eb,120,1389,0.08639308855291576
1a97d,120,1407,0.08528784648187633
1b239,120,1371,0.087527352297593
1cd0f,120,1428,0.08403361344537816
1d05f,120,1473,0.0814663951120163
2097c,120,1425,0.08421052631578947
25fca,120,1419,0.08456659619450317
29dfb,120,1413,0.08492569002123142
29f3d,120,1470,0.08163265306122448
2a22f,120,1431,0.08385744234800839
2a81e,120,1497,0.08016032064128256
2bac9,120,1440,0.08333333333333333
2d2a6,120,1467,0.081799591002045
2f143,120,1377,0.08714596949891068
2f6d9,120,1443,0.08316008316008316
31179,120,1416,0.0847457627118644
358da,120,1446,0.08298755186721991
38612,120,1383,0.08676789587852494
3865f,120,1449,0.08281573498964803
38dbb,120,1398,0.08583690987124463
394a2,120,1410,0.0851063829787234
3b5ed,120,1458,0.0823045267489712
3fe7e,120,1458,0.0823045267489712
41428,120,1407,0.08528784648187633
426b3,120,1446,0.08298755186721991
44e6b,120,1434,0.08368200836820083
4546b,120,1473,0.0814663951120163
471ac,120,1401,0.08565310492505353
479f5,120,1443,0.08316008316008316
497b8,120,1440,0.08333333333333333
4d2a9,120,1404,0.08547008547008547
4df78,120,1422,0.08438818565400844
4e7f8,120,1500,0.08
5243e,120,1503,0.07984031936127745
52873,120,1464,0.08196721311475409
55d5b,120,1458,0.0823045267489712
568f2,120,1485,0.08080808080808081
5695b,120,1380,0.08695652173913043
5880e,120,1560,0.07692307692307693
588b8,120,1407,0.08528784648187633
5beae,120,1419,0.08456659619450317
5dc39,120,1425,0.08421052631578947
5f27c,120,1446,0.08298755186721991
62be0,120,1407,0.08528784648187633
634cc,120,1509,0.07952286282306163
64a05,120,1449,0.08281573498964803
64aca,120,1389,0.08639308855291576
6662c,120,1494,0.08032128514056225
6b67d,120,1503,0.07984031936127745
6c4a3,120,1491,0.08048289738430583
6e6ee,120,1419,0.08456659619450317
6f176,120,1338,0.08968609865470852
6fe3f,120,1512,0.07936507936507936
700ec,120,1404,0.08547008547008547
7389d,120,1371,0.087527352297593
738bd,120,1425,0.08421052631578947
73da5,120,1383,0.08676789587852494
75c8f,120,1407,0.08528784648187633
7b5f6,120,1407,0.08528784648187633
7b91f,120,1455,0.08247422680412371
7d46d,120,1386,0.08658008658008658
7fd37,120,1527,0.07858546168958742
848f6,120,1437,0.08350730688935282
855f4,120,1368,0.08771929824561403
864e7,120,1413,0.08492569002123142
86b55,120,1518,0.07905138339920949
87e29,120,1539,0.07797270955165692
88671,120,1344,0.08928571428571429
889c9,120,1479,0.08113590263691683
893fa,120,1446,0.08298755186721991
8da97,120,1392,0.08620689655172414
91996,120,1368,0.08771929824561403
93b38,120,1446,0.08298755186721991
93c51,120,1458,0.0823045267489712
95151,120,1443,0.08316008316008316
95ea8,120,1416,0.0847457627118644
98812,120,1398,0.08583690987124463
98dc0,120,1413,0.08492569002123142
994d8,120,1467,0.081799591002045
99c23,120,1383,0.08676789587852494
9b1b9,120,1338,0.08968609865470852
9ba80,120,1521,0.07889546351084813
9be92,120,1437,0.08350730688935282
9c2ee,120,1365,0.08791208791208792
9f1f6,120,1392,0.08620689655172414
a0630,120,1446,0.08298755186721991
a13c2,120,1467,0.081799591002045
a1b8d,120,1476,0.08130081300813008
a3938,120,1488,0.08064516129032258
a3d90,120,1515,0.07920792079207921
a3f26,120,1359,0.08830022075055188
a4e75,120,1449,0.08281573498964803
a5b31,120,1440,0.08333333333333333
a8517,120,1386,0.08658008658008658
aa17e,120,1446,0.08298755186721991
ab81f,120,1389,0.08639308855291576
afb0c,120,1380,0.08695652173913043
b29b4,120,1455,0.08247422680412371
b3193,120,1395,0.08602150537634409
b4050,120,1470,0.08163265306122448
b6a80,120,1482,0.08097165991902834
b8cd1,120,1458,0.0823045267489712
ba694,120,1485,0.08080808080808081
bbe2c,120,1407,0.08528784648187633
bcd62,120,1428,0.08403361344537816
bd42c,120,1488,0.08064516129032258
be7d9,120,1425,0.08421052631578947
c1d08,120,1365,0.08791208791208792
c4cff,120,1401,0.08565310492505353
c9153,120,1344,0.08928571428571429
ca5fb,120,1434,0.08368200836820083
cc17c,120,1392,0.08620689655172414
cd759,120,1365,0.08791208791208792
ceefb,120,1443,0.08316008316008316
cf32b,120,1431,0.08385744234800839
d2fad,120,1497,0.08016032064128256
d4bee,120,1443,0.08316008316008316
d58d5,120,1371,0.087527352297593
d6502,120,1455,0.08247422680412371
d656d,120,1395,0.08602150537634409
d6a9b,120,1353,0.08869179600886919
de05a,120,1437,0.08350730688935282
e02a7,120,1416,0.0847457627118644
e0583,120,1476,0.08130081300813008
e2f6b,120,1473,0.0814663951120163
eddfd,120,1470,0.08163265306122448
eed9b,120,1371,0.087527352297593
f12e2,120,1419,0.08456659619450317
f2ac2,120,1335,0.0898876404494382
f6a1b,120,1413,0.08492569002123142
f7401,120,1389,0.08639308855291576
f7633,120,1401,0.08565310492505353
f91b2,120,1422,0.08438818565400844
f94cc,120,1383,0.08676789587852494
fc5f6,120,1422,0.08438818565400844
